,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
5388,139,4,81,28,0,0,100,-7,7,8,29,1,45,-7,2,2,0,-8,0,2,0,40
1992,12,7,10,2,0,0,100,-7,7,8,2,1,50,0,1,1,103,-8,1,-8,1,100
7728,233,2,69,28,0,0,93,64,6,6,29,2,48,9,0,0,58,64,7,3,2,71
2022,98,3,56,20,0,0,95,69,6,6,20,2,20,0,0,0,16,-8,3,-8,1,33
25,265,3,79,25,2,1,93,13,0,5,28,2,48,0,1,1,63,50,8,2,0,91
7159,65,2,40,12,3,2,82,8,4,3,18,3,76,0,3,3,3,100,2,3,0,83
8882,79,2,26,13,0,0,100,-7,7,8,15,2,27,0,1,1,28,65,6,3,1,69
1727,151,2,34,10,0,0,100,-7,7,8,12,7,25,0,4,4,53,-8,6,-8,1,67
5851,88,23,62,5,0,0,80,5,4,6,5,0,40,0,0,0,0,67,0,1,0,50
5603,164,2,88,17,3,3,86,4,4,4,24,2,41,0,4,4,24,59,4,3,-8,78
7606,198,50,93,7,1,0,63,18,6,5,8,0,50,-7,0,0,28,42,1,3,1,67
2248,306,8,48,21,0,0,91,18,6,6,37,1,27,-7,1,1,38,77,5,3,2,50
3422,125,6,45,39,0,0,95,6,4,6,39,3,18,0,1,1,27,54,7,6,2,42
2746,-8,10,98,23,0,0,100,-7,7,8,38,1,29,-7,2,2,1,35,6,2,0,73
1524,154,4,57,13,0,0,93,-8,6,6,14,1,43,0,0,0,4,80,1,4,1,45
1774,312,5,99,13,0,0,100,-7,7,8,14,1,29,0,0,0,42,-8,3,1,1,80
6708,235,16,141,13,0,0,100,-7,7,8,14,0,21,-7,0,0,10,-8,2,1,0,43
8284,239,7,86,28,0,0,93,19,6,6,30,3,29,-7,5,5,11,38,6,3,1,82
7156,413,4,111,41,0,0,100,-7,7,8,43,4,30,0,4,4,4,-8,3,1,1,25
8294,180,7,87,54,0,0,100,-7,7,8,58,2,62,0,5,5,77,60,10,4,7,88
6324,165,15,93,34,0,0,94,2,4,6,36,0,39,0,2,2,85,48,16,6,11,96
5759,197,5,90,30,0,0,97,-8,6,6,31,2,16,0,0,0,25,-8,6,1,2,54
9298,361,1,86,25,0,0,100,-7,7,8,26,1,31,-8,0,0,10,-8,3,3,0,67
1837,84,8,46,23,0,0,96,17,6,6,24,1,29,0,0,0,54,39,5,2,3,70
5926,199,5,70,32,0,0,94,21,6,6,33,2,27,-7,1,1,2,-8,2,1,0,25
1885,177,1,44,24,1,0,96,22,6,5,26,3,15,0,1,1,5,76,4,3,0,37
823,178,13,72,11,0,0,100,-7,7,8,11,0,9,0,1,1,30,31,1,1,1,29
6099,281,8,77,26,0,0,92,34,6,6,27,1,35,-8,0,0,55,28,5,2,3,58
6916,185,3,80,22,0,0,100,-7,7,8,25,2,40,3,1,1,17,27,2,2,0,50
3188,307,9,108,20,0,0,81,3,4,6,21,1,33,6,0,0,20,58,4,3,0,89
4131,134,3,45,28,1,0,94,50,6,5,31,7,45,0,3,3,23,94,4,3,1,58
10032,241,25,79,19,0,0,100,-7,7,8,20,0,35,-7,0,0,77,-8,3,2,3,83
307,220,9,69,27,0,0,100,-7,7,8,27,3,44,0,2,2,95,59,4,4,2,100
7670,221,0,64,31,0,0,94,14,6,6,36,4,51,-7,1,0,9,88,3,6,0,45
7399,132,5,43,13,0,0,100,-7,7,8,13,2,15,0,2,1,72,-8,8,1,4,82
418,460,3,130,23,0,0,96,0,4,6,23,6,9,0,0,0,34,92,7,1,3,67
3798,385,5,79,22,0,0,96,26,6,6,30,3,57,8,0,0,6,93,3,5,0,89
3389,130,7,64,31,3,3,82,16,6,2,34,3,21,0,4,3,14,2,5,3,0,44
7718,164,10,77,46,1,1,98,5,4,6,50,1,18,8,0,0,24,68,12,2,1,54
3359,170,1,66,19,0,0,100,-7,7,8,22,2,15,0,10,10,0,96,1,2,-8,30
8058,114,2,32,8,0,0,100,-7,7,8,9,3,67,1,2,2,39,69,1,1,0,67
9671,281,9,90,37,0,0,100,-7,7,8,37,1,38,0,1,1,34,53,3,4,1,62
9057,371,6,79,40,0,0,100,-7,7,8,43,4,23,0,0,0,28,13,6,2,2,47
2664,219,1,70,9,2,2,62,20,5,2,8,2,8,-7,1,1,45,-8,5,1,3,100
160,244,3,128,54,0,0,98,-8,6,6,56,3,41,0,4,4,25,97,6,3,0,90
4670,136,1,46,23,0,0,96,41,6,6,24,2,58,0,3,3,93,73,5,4,4,77
8412,267,10,121,15,0,0,94,52,6,6,16,2,56,0,4,4,77,-8,4,1,3,83
4596,521,8,212,8,0,0,100,-7,7,8,8,1,0,-7,0,0,3,-8,2,-8,0,33
7565,150,11,83,31,0,0,97,-8,6,6,31,1,77,-7,0,0,79,53,2,3,2,83
9052,122,3,53,39,0,0,95,1,4,6,43,4,65,0,3,3,53,82,5,7,1,81
10088,136,9,87,15,0,0,100,-7,7,8,15,1,27,-7,0,0,47,-8,5,1,1,75
8540,190,21,111,18,0,0,100,-7,7,8,19,0,28,19,0,0,24,-8,2,1,1,33
5499,288,2,119,13,1,1,82,8,4,4,18,3,41,1,4,4,0,59,2,3,0,83
4168,408,11,95,26,1,0,86,56,6,5,29,1,66,0,0,0,99,46,3,4,2,78
6286,225,3,81,11,0,0,100,-7,7,8,12,2,73,1,3,3,6,91,1,3,0,80
8394,130,5,25,10,0,0,100,-7,7,8,12,4,25,0,0,0,95,90,6,2,2,89
7803,396,15,129,15,0,0,100,-7,7,8,15,0,13,-8,0,0,3,-8,2,1,0,33
4278,119,7,41,17,3,3,94,13,6,6,19,2,17,0,1,1,34,58,5,3,2,67
7895,152,4,68,36,0,0,100,-7,7,8,38,4,44,4,2,2,57,88,6,3,1,82
7709,148,1,65,16,0,0,100,-7,7,8,17,1,29,4,1,1,79,69,7,5,6,92
9227,68,62,65,2,0,0,100,-7,7,8,2,0,0,0,1,1,57,-8,1,-8,1,50
4687,150,6,36,25,0,0,100,-7,7,8,26,4,58,5,0,0,70,60,7,4,2,92
3028,172,3,110,28,0,0,100,-7,7,8,8,3,37,9,0,0,23,70,8,3,0,86
3346,83,14,162,18,0,0,94,46,6,6,17,0,6,5,1,1,60,-8,9,-8,2,69
4092,269,16,97,22,0,0,100,-7,7,8,22,0,32,0,4,4,0,-8,2,-8,1,33
5889,164,11,77,16,1,0,88,26,6,5,17,1,12,-7,0,0,5,-8,1,1,0,25
4000,169,9,116,21,1,0,91,8,4,5,7,3,41,11,1,1,4,90,2,3,0,63
2398,148,7,101,43,0,0,93,9,4,6,7,2,16,-7,1,1,51,89,13,3,4,59
1044,159,7,74,46,0,0,98,-7,5,7,51,6,59,9,0,0,20,88,5,5,0,79
3236,282,17,89,13,0,0,100,-7,7,8,13,0,46,23,0,0,16,53,3,2,1,71
2629,166,5,50,9,0,0,100,-7,7,8,40,2,33,-7,1,1,56,96,3,3,1,100
2335,355,12,111,21,1,1,87,46,6,3,7,0,39,-7,2,2,50,64,5,3,2,62
4943,135,3,54,25,0,0,96,78,6,6,25,2,40,5,2,2,12,79,3,5,0,53
7955,192,6,74,27,0,0,100,-7,7,8,27,1,41,0,1,1,24,-8,6,4,2,59
8280,151,4,71,22,0,0,87,8,4,6,23,2,43,-7,3,3,57,86,1,4,0,83
6793,198,4,114,26,2,0,93,42,6,5,28,5,46,0,1,1,18,15,7,3,0,77
2191,123,12,74,7,0,0,75,7,4,6,8,0,25,0,2,0,17,90,2,1,0,100
6546,90,7,37,12,2,2,92,51,6,4,14,4,38,0,3,3,82,95,4,4,2,100
8096,369,54,197,21,0,0,95,11,4,6,21,0,10,1,1,1,10,-8,5,2,0,44
4961,187,13,87,24,0,0,96,21,6,6,24,0,25,2,2,2,6,-8,1,1,0,25
10288,346,9,102,19,0,0,100,-7,7,8,19,1,37,0,2,2,5,31,2,3,0,56
5368,180,2,83,33,2,1,78,11,4,5,36,2,25,-7,0,0,19,56,4,3,1,64
7428,253,6,94,59,2,0,71,3,3,2,66,5,76,0,0,0,45,55,3,2,2,71
5348,236,9,109,25,0,0,92,18,5,6,26,1,38,-7,3,3,81,49,13,3,6,100
2045,43,3,23,25,0,0,100,-7,7,8,25,6,0,0,6,3,44,-8,12,-8,3,52
6414,124,1,52,23,0,0,88,1,4,6,24,4,13,0,0,0,8,77,4,2,0,33
6509,192,1,76,22,0,0,96,16,6,6,25,2,32,0,0,0,67,64,6,4,4,77
3075,390,9,102,58,2,1,80,4,2,4,38,3,23,9,0,0,65,68,13,3,6,58
4601,37,3,20,4,1,1,100,-7,7,8,4,2,100,-7,2,2,-8,80,-8,3,-8,100
10411,296,26,120,12,0,0,100,-7,7,8,14,0,42,-8,0,0,17,33,2,1,0,75
4062,258,5,73,62,0,0,97,7,4,6,60,7,25,3,2,2,20,54,11,9,1,49
6242,175,51,115,6,1,0,50,27,6,5,8,0,50,1,4,4,13,-8,1,1,-8,100
731,130,6,38,15,0,0,80,1,4,6,15,1,27,13,0,0,84,71,6,3,4,82
4911,180,7,86,22,0,0,100,-7,7,8,22,1,50,5,0,0,5,42,3,4,0,78
3258,172,4,115,18,1,1,84,19,6,3,19,1,47,0,3,3,8,-8,3,2,0,71
9254,316,21,99,13,0,0,69,0,4,6,16,0,56,10,0,0,26,-8,2,1,1,75
6575,139,6,56,15,0,0,93,3,4,6,15,1,53,0,1,1,80,46,5,2,2,100
10422,181,3,89,11,0,0,100,-7,7,8,11,1,9,1,2,2,5,-8,2,-8,0,50
10083,132,8,65,4,0,0,50,1,4,6,6,1,67,-7,0,0,0,56,0,2,0,75
6113,333,3,107,44,0,0,100,-7,7,8,44,4,34,0,1,1,6,87,6,6,0,60
6655,155,3,52,31,0,0,100,-7,7,8,31,1,29,-7,2,2,51,98,3,3,2,46
6243,33,4,15,11,0,0,82,0,4,6,11,6,9,5,0,0,13,-8,4,1,0,50
4322,268,6,77,14,1,1,100,-7,0,8,15,2,50,0,0,0,3,-8,1,1,0,50
2415,463,3,86,43,0,0,98,50,6,6,46,5,14,-7,2,2,15,28,5,3,2,33
8858,161,23,80,6,1,1,43,12,6,6,7,0,43,2,2,2,15,-8,1,1,0,50
3609,80,3,43,27,1,1,100,-7,6,8,10,8,15,0,6,6,5,58,12,2,0,67
6460,120,3,44,2,1,1,67,74,6,2,3,2,0,0,2,2,44,-8,2,-8,1,100
157,245,6,100,35,0,0,100,-7,7,8,37,1,43,4,1,1,18,61,6,4,0,71
5057,273,30,141,15,1,0,94,36,6,5,17,0,29,0,1,0,6,-8,2,1,0,57
3694,106,2,39,9,0,0,100,-7,7,8,7,1,50,3,1,1,26,65,2,3,0,63
5377,181,11,69,29,0,0,97,35,5,6,36,1,78,-7,0,0,0,81,0,2,0,60
1475,98,11,50,15,0,0,100,-7,7,8,15,2,27,0,0,0,42,60,2,2,1,63
6180,397,2,113,40,0,0,98,39,6,6,41,5,37,10,0,0,26,79,8,4,0,71
6756,259,6,120,26,0,0,93,42,6,6,27,3,22,5,0,0,49,79,4,2,2,67
4235,216,1,72,41,0,0,100,-7,7,8,42,4,24,0,10,10,25,88,3,4,0,50
4153,84,7,45,21,0,0,95,25,6,6,22,3,50,0,0,0,6,72,6,3,0,69
6895,177,14,74,13,0,0,100,-7,7,8,13,0,31,-8,0,0,6,-8,1,1,0,29
9632,169,10,109,14,0,0,100,-7,7,8,15,1,27,21,0,0,37,-8,1,-8,0,33
7730,418,6,102,19,0,0,100,-7,7,8,19,5,21,0,1,1,44,-8,7,2,3,77
5612,322,5,81,42,0,0,98,65,6,6,42,5,19,0,4,4,14,77,11,4,3,50
2923,163,2,57,43,1,0,96,22,6,5,47,11,44,0,8,8,35,62,7,1,1,47
7236,221,27,84,18,0,0,100,-7,7,8,18,0,22,0,0,0,10,-8,1,1,0,20
5408,126,3,26,9,1,1,90,1,4,6,11,2,36,3,2,2,44,76,4,2,1,86
9728,469,4,106,33,1,1,78,8,4,3,36,2,25,-8,0,0,2,-8,5,1,0,38
1514,284,2,71,18,0,0,100,-7,7,8,19,4,32,0,10,10,31,100,9,6,0,94
7136,112,20,70,11,0,0,100,-7,7,8,11,0,73,0,0,0,12,-8,1,1,0,100
415,80,7,46,6,3,2,75,50,6,4,9,2,50,0,1,0,30,93,1,2,0,75
2531,46,2,21,13,0,0,100,-7,7,8,23,5,21,-7,3,3,66,78,7,2,2,75
1626,112,8,50,22,0,0,100,-7,7,8,25,1,29,0,0,0,39,-8,7,2,1,64
2991,159,28,49,11,0,0,91,14,6,6,22,0,27,9,0,0,52,-8,4,1,1,83
2476,133,0,58,2,1,1,100,-7,6,7,3,4,20,-7,9,9,18,-8,3,-8,0,75
3337,41,41,41,1,0,0,100,-7,7,8,1,0,100,5,1,1,-8,-8,-8,1,-8,100
3571,-8,3,51,7,2,2,75,16,6,2,0,1,13,2,1,1,16,-8,3,-8,0,75
1736,163,15,66,47,0,0,100,-7,7,8,47,0,21,0,4,4,9,82,5,6,1,58
2994,245,9,95,30,3,1,88,18,6,5,29,1,44,0,1,1,25,82,2,5,-8,89
2241,-8,14,140,24,0,0,100,-7,7,8,0,0,50,-7,0,0,26,70,4,4,0,73
5826,192,2,84,10,5,4,56,26,6,2,16,1,38,0,1,1,11,3,1,1,1,50
8954,368,4,111,47,0,0,100,-7,7,8,49,2,27,0,1,1,78,61,21,2,9,80
3083,65,9,114,21,1,1,100,-7,6,8,3,3,24,10,0,0,20,74,3,1,1,50
7084,249,5,87,30,0,0,100,-7,7,8,32,1,25,3,5,5,6,95,1,1,0,67
5097,115,16,58,8,0,0,100,-7,7,8,9,0,44,-8,0,0,27,-8,2,-8,0,50
2305,202,9,89,27,0,0,100,-7,7,8,34,1,15,-7,0,0,51,-8,6,1,3,67
4143,188,25,69,17,0,0,83,22,6,6,18,0,44,0,0,0,6,43,1,4,0,71
9250,256,2,83,25,0,0,100,-7,7,8,27,1,19,3,1,1,34,-8,4,1,2,33
1060,292,1,110,38,0,0,98,67,6,6,44,3,18,6,0,0,21,96,7,2,2,59
4369,18,3,11,2,0,0,100,-7,7,8,2,1,100,0,1,1,-8,99,-8,2,-8,100
1608,270,26,83,28,0,0,100,-7,7,8,28,0,25,0,0,0,0,-8,1,-8,0,10
978,142,2,60,44,2,2,98,18,6,6,47,4,28,5,0,0,0,90,3,5,1,40
7425,117,15,59,31,0,0,97,53,6,6,31,0,29,0,1,1,0,60,0,4,0,67
6907,354,13,80,25,0,0,100,-7,7,8,25,0,8,15,0,0,36,-8,10,1,2,61
1779,220,4,95,35,0,0,94,10,4,6,35,1,26,0,0,0,53,-8,7,2,1,63
3153,231,8,77,22,0,0,100,-7,7,8,70,3,14,1,5,5,97,-8,8,-8,7,100
7451,126,12,64,15,0,0,100,-7,5,8,15,0,47,0,2,2,77,69,4,2,2,75
6201,72,11,32,20,0,0,100,-7,7,8,21,1,5,6,0,0,48,-8,6,-8,3,40
4309,57,4,31,7,2,2,100,-7,6,8,7,1,57,0,0,0,-8,86,-8,3,-8,100
4941,185,10,77,35,0,0,97,59,6,6,37,1,29,13,0,0,49,41,3,2,0,83
6270,223,13,87,23,0,0,91,26,6,6,26,0,9,1,1,1,4,-8,4,1,0,50
8080,373,7,91,32,0,0,97,56,6,6,32,1,22,-8,0,0,26,-8,8,1,1,56
2192,137,20,68,17,0,0,100,-7,7,8,18,0,17,0,5,4,48,-8,2,1,1,60
9594,226,1,98,24,2,2,80,28,6,3,30,2,57,8,0,0,28,92,1,2,-8,75
6100,93,1,41,29,0,0,100,-7,7,8,31,4,20,1,9,8,39,56,10,2,3,71
984,250,27,76,12,0,0,75,1,4,6,14,0,17,0,2,2,36,11,5,1,0,75
7296,193,9,114,13,0,0,100,-7,7,8,14,1,43,0,0,0,1,88,2,2,0,67
456,43,4,21,11,0,0,100,-7,7,8,13,4,38,0,3,3,64,98,4,3,1,88
4373,374,23,230,10,1,1,73,4,4,4,11,0,9,0,0,0,72,-8,5,-8,1,50
1964,128,4,57,16,4,2,71,5,4,2,21,2,33,0,0,0,48,39,8,2,1,100
2168,31,3,18,10,0,0,100,-7,7,8,10,2,10,0,1,1,53,82,9,1,2,100
4724,159,1,61,26,0,0,96,5,4,6,27,2,33,1,1,1,7,75,5,3,0,67
5115,231,12,80,17,0,0,94,16,6,6,18,0,39,0,2,2,8,-8,4,1,1,50
1698,275,12,80,4,0,0,80,9,4,6,5,0,60,0,0,0,56,58,1,2,1,75
1778,180,2,81,7,2,0,73,15,6,5,11,2,18,0,0,0,81,-8,2,1,1,100
1026,101,14,56,12,0,0,100,-7,7,8,12,0,42,0,0,0,0,-8,3,1,0,83
7471,110,4,50,14,1,1,94,43,6,2,17,1,47,0,2,2,70,91,2,2,0,80
9787,302,16,91,43,2,2,91,11,4,2,45,0,44,0,0,0,25,61,10,4,1,67
7248,78,12,32,19,0,0,100,-7,7,8,22,0,43,0,3,3,91,-8,8,1,5,90
4009,336,88,241,24,2,1,88,73,6,5,21,0,15,-8,0,0,0,-8,0,-8,0,0
6076,140,8,65,8,0,0,88,52,6,6,8,1,13,0,2,2,91,-8,2,1,2,75
4340,375,77,219,6,1,1,86,1,0,2,7,0,57,0,1,0,31,-8,1,-8,-8,33
2421,173,4,37,18,0,0,94,31,6,6,18,4,22,-7,0,0,54,99,9,2,4,79
7276,77,20,45,8,1,0,80,4,4,5,10,0,90,0,2,2,41,75,1,3,0,100
4504,132,2,52,23,3,3,88,64,6,6,24,6,54,-7,1,1,24,39,4,3,0,70
9911,119,1,47,14,0,0,100,-7,7,8,16,6,38,0,3,3,74,100,5,1,2,86
5676,190,8,82,22,0,0,95,-8,6,6,22,3,27,0,0,0,17,49,2,2,0,44
5324,108,1,64,3,0,0,67,79,6,6,8,2,50,0,4,4,81,81,1,1,1,75
6624,66,9,52,3,1,1,75,6,4,6,4,1,75,-7,1,1,71,132,1,1,0,100
751,78,4,50,23,0,0,96,11,4,6,24,1,46,3,2,2,48,76,2,5,0,78
3777,137,26,89,19,0,0,100,-7,7,8,15,0,58,7,0,0,1,0,1,5,0,78
4947,287,15,117,23,0,0,100,-7,7,8,23,0,30,11,0,0,3,54,3,3,0,60
6006,134,5,81,17,1,0,70,29,6,5,20,1,45,7,0,0,80,34,4,2,3,100
3617,436,2,116,47,0,0,100,-7,7,8,37,1,13,2,1,1,11,29,6,3,0,33
578,235,9,94,22,0,0,100,-7,7,8,25,1,16,-7,0,0,8,-8,3,-8,0,43
2562,154,10,75,18,1,1,89,4,4,3,13,1,21,-7,2,2,4,81,1,3,0,57
8387,90,13,51,9,5,4,47,3,0,2,16,0,38,0,3,1,82,81,4,3,1,88
1718,203,3,76,17,0,0,100,-7,7,8,17,2,24,0,0,0,4,70,4,3,0,58
4812,52,3,25,7,0,0,100,-7,7,8,7,2,43,0,0,0,5,98,1,2,0,50
4965,306,2,89,19,0,0,95,15,6,6,21,2,24,1,1,1,12,-8,5,1,0,60
8630,134,2,65,19,3,3,67,18,6,2,24,2,46,0,9,9,66,-8,2,1,2,60
3984,235,3,89,29,0,0,100,-7,7,8,3,1,24,3,1,1,51,-8,4,-8,2,50
8726,164,1,51,3,2,1,67,10,2,4,6,2,17,0,1,1,87,-8,3,1,2,100
5961,43,1,16,9,0,0,100,-7,7,8,10,6,40,-7,2,2,96,42,3,2,1,83
4038,-8,3,114,19,0,0,100,-7,7,8,0,1,26,-8,0,0,2,94,2,2,0,57
5971,184,10,89,25,0,0,96,62,6,6,27,1,27,-7,12,12,24,84,4,3,2,54
2796,188,17,107,9,0,0,100,-7,7,8,16,0,33,-7,0,0,0,69,1,2,0,57
10258,107,2,54,10,0,0,82,11,4,6,11,1,27,0,3,3,12,3,3,2,0,71
8893,278,1,87,21,2,2,96,61,6,6,25,5,36,0,2,2,23,85,3,3,1,55
2242,204,16,100,25,2,2,89,1,0,6,28,0,21,-7,1,0,76,-8,9,1,3,85
3781,-8,4,100,8,1,1,88,30,6,6,0,1,13,4,1,1,2,-8,1,1,0,43
5362,156,5,49,25,0,0,96,-7,5,7,25,2,40,-7,1,1,58,88,7,9,1,80
7951,271,2,101,22,0,0,100,-7,7,8,23,1,17,2,4,4,32,35,9,2,3,69
3490,83,22,80,7,0,0,100,-7,7,8,11,0,29,2,1,1,30,43,2,1,0,75
1032,69,24,42,7,0,0,100,-7,7,8,7,0,14,-7,1,0,54,37,5,1,1,86
6553,118,16,54,2,7,7,20,10,4,2,10,0,40,0,4,4,40,33,1,3,0,83
6097,187,2,62,17,2,0,80,50,6,5,20,4,20,20,0,0,69,-8,9,1,3,85
10049,268,6,83,12,1,1,92,70,6,4,15,4,23,-7,0,0,19,-8,2,1,1,33
5576,384,33,224,11,0,0,100,-7,7,8,11,0,9,0,0,0,15,-8,5,-8,0,56
5652,267,4,79,19,0,0,100,-7,7,8,19,1,0,0,1,1,5,-8,4,-8,0,29
2561,260,3,74,29,1,0,86,1,3,5,35,6,40,-7,5,5,27,73,7,8,0,63
10176,69,2,32,19,0,0,100,-7,7,8,20,3,30,1,2,2,62,78,6,2,2,67
3981,-8,24,99,18,0,0,100,-7,7,8,0,0,22,3,1,1,3,-8,1,1,0,20
556,103,20,70,6,0,0,71,48,6,6,7,0,29,-7,0,0,34,-8,1,-8,0,100
2181,51,9,26,13,0,0,100,-7,7,8,13,1,15,0,3,3,66,4,7,2,1,91
3652,-8,1,45,11,0,0,100,-7,7,8,0,2,46,1,1,1,10,95,1,2,0,50
5391,174,1,75,38,0,0,100,-7,7,8,40,5,40,-7,6,6,77,60,4,8,3,75
6283,188,38,83,21,0,0,100,-7,7,8,21,0,29,-8,0,0,0,-8,0,1,0,13
7380,149,15,62,13,0,0,100,-7,7,8,13,0,38,0,0,0,0,55,0,3,0,75
8077,368,10,155,16,0,0,100,-7,7,8,17,1,18,2,1,1,7,-8,4,1,0,71
9213,188,12,92,24,2,0,75,45,6,5,32,0,59,10,0,0,60,-8,5,1,0,75
6690,132,3,76,16,0,0,100,-7,7,8,18,1,50,-7,1,1,10,-8,3,1,0,57
8962,73,12,57,8,0,0,100,-7,7,8,8,0,25,0,1,1,4,-8,2,1,1,60
5913,31,2,14,13,0,0,100,-7,7,8,14,4,14,-7,2,2,25,98,7,2,2,79
6271,225,3,102,43,2,2,96,34,6,4,63,2,32,0,5,5,30,62,5,4,0,77
9832,151,7,71,13,1,0,79,33,6,2,14,1,36,0,1,1,22,-8,4,1,0,63
6715,253,12,161,11,1,1,92,19,6,6,13,0,31,-7,0,0,97,30,4,1,1,100
3920,371,17,150,29,0,0,100,-7,7,8,24,0,24,2,1,1,50,76,6,3,3,53
4830,115,4,56,25,0,0,96,2,4,6,25,4,44,3,1,1,64,53,2,3,1,50
7838,178,20,79,14,0,0,100,-7,7,8,16,0,63,10,0,0,50,3,5,2,1,100
657,188,5,77,7,1,0,75,48,6,5,8,1,25,5,0,0,99,-8,1,-8,-8,100
7853,230,3,84,23,0,0,100,-7,7,8,23,2,61,0,1,1,1,64,3,4,1,78
1919,157,2,86,2,0,0,67,21,6,6,3,1,67,0,0,0,10,-8,1,1,-8,100
4679,270,3,59,20,4,0,79,8,4,5,24,1,50,0,2,2,63,42,6,4,1,77
5506,245,5,87,11,0,0,77,2,4,6,14,1,23,2,2,2,28,-8,2,-8,0,40
7987,227,5,92,28,0,0,100,-7,7,8,43,4,57,5,2,2,49,79,3,2,2,63
8046,176,16,76,9,0,0,78,8,4,6,9,0,78,1,3,3,-8,91,1,3,-8,100
9167,90,4,52,14,2,1,88,62,6,2,16,1,75,-7,1,1,55,78,2,11,1,93
6532,418,9,111,18,2,1,90,4,0,2,20,1,25,0,0,0,11,-8,2,1,0,43
7004,187,4,90,22,0,0,100,-7,7,8,22,2,32,-8,0,0,29,81,4,2,0,60
2350,17,58,177,10,0,0,100,-7,7,8,3,0,10,-7,0,0,2,-8,5,-8,0,71
6753,192,3,59,13,1,0,86,2,4,5,14,1,36,3,1,1,36,51,1,3,0,50
10109,53,3,24,13,0,0,100,-7,7,8,13,4,46,-7,1,1,19,99,3,2,0,56
5994,295,21,124,10,2,2,64,16,6,2,14,0,36,20,0,0,38,30,3,3,0,86
3432,210,36,91,24,1,0,80,21,6,5,25,0,32,0,2,2,75,7,3,4,2,70
6029,221,3,75,30,0,0,100,-7,7,8,30,3,10,9,0,0,22,-8,9,-8,3,47
6266,141,14,79,13,0,0,77,11,4,6,13,0,23,-8,0,0,4,-8,2,1,0,60
3386,342,8,164,22,0,0,100,-7,7,8,22,1,36,0,1,1,40,90,4,2,1,58
9791,167,6,60,10,1,1,82,5,4,3,11,2,45,0,0,0,74,98,3,2,2,100
10296,167,2,61,19,0,0,70,11,4,6,20,2,35,0,1,1,4,76,3,3,0,70
1993,182,9,87,19,1,1,84,8,4,6,20,1,21,0,0,0,93,60,8,2,4,100
4041,419,1,22,6,0,0,100,-7,7,8,12,3,29,9,1,0,37,58,3,2,0,71
5894,146,6,116,6,3,1,55,6,0,2,11,1,55,-7,1,1,83,-8,1,1,1,75
5935,164,19,108,9,1,0,70,9,4,5,10,0,80,-7,0,0,0,121,0,4,-8,80
7533,63,1,28,14,0,0,93,37,6,6,15,2,53,-7,1,0,31,-8,1,1,0,50
7225,40,6,23,7,0,0,86,14,6,6,7,1,57,0,2,2,89,74,3,3,-8,100
8600,258,1,67,30,1,1,97,31,6,4,33,3,36,1,4,4,10,-8,1,1,0,18
9779,270,18,128,32,0,0,100,-7,7,8,32,0,38,0,0,0,25,31,3,6,1,77
2003,130,1,61,20,0,0,100,-7,7,8,21,3,19,0,0,0,57,98,3,3,2,43
5180,98,3,40,22,0,0,100,-7,7,8,23,6,17,1,4,3,0,81,0,1,0,11
9899,140,4,75,27,0,0,100,-7,7,8,29,4,52,0,3,2,12,100,2,3,0,71
5267,176,8,96,22,0,0,95,11,4,6,22,1,27,0,0,0,62,17,2,6,1,89
518,-8,8,88,55,0,0,95,10,4,6,59,3,34,-7,1,1,54,59,6,4,3,61
6592,126,6,41,5,1,0,83,8,3,5,6,1,50,0,1,1,90,86,1,2,-8,100
3305,171,3,84,26,0,0,96,22,6,6,27,2,44,4,2,2,3,48,2,4,0,54
2193,267,12,80,29,1,1,97,78,6,4,30,0,47,0,0,0,5,83,2,3,0,50
4573,93,14,50,7,1,0,63,18,6,5,8,0,50,-7,1,1,93,-8,2,1,2,75
9113,197,6,115,16,4,3,74,4,4,2,19,3,32,-7,5,5,12,70,1,2,0,75
6420,117,7,63,18,2,1,77,3,4,5,23,1,41,0,0,0,26,93,3,2,1,50
6078,108,1,55,14,1,1,88,62,6,3,17,4,63,2,3,3,37,95,2,3,0,63
2566,215,9,75,27,2,2,90,6,4,6,82,2,76,-7,2,2,79,100,2,2,-8,100
4932,316,8,119,22,1,0,78,1,4,5,23,1,26,-8,0,0,29,-8,4,2,1,50
2403,-8,10,43,7,1,0,38,0,3,5,0,1,25,-7,0,0,26,-8,2,1,0,57
9517,174,2,69,30,1,1,97,17,5,2,33,1,9,0,0,0,9,84,5,1,0,46
3321,227,1,67,24,0,0,96,4,6,6,21,4,56,0,3,3,14,23,3,4,0,64
3962,185,6,85,23,0,0,100,-7,7,8,44,3,13,-8,0,0,7,-8,5,1,0,43
10338,197,1,91,30,0,0,100,-7,7,8,31,2,26,1,1,1,37,71,5,3,2,64
5530,125,10,64,7,0,0,86,6,4,6,7,1,43,10,0,0,5,79,1,2,0,60
